feature,split,n_rescued,wr_rescued,edge_rescued,pnl_rescued,n_weeks,worst_wk_share,edge_remainder,n_remainder,pnl_remainder
composite_p_up,<0.3522(q0.2),14,0.42857142857142855,-0.19642857142857145,-252.89000000000001,6,38.39087100967789,-0.23772727272727273,55,-935.8300000000002
composite_p_up,>=0.3931(q0.3),48,0.3958333333333333,-0.2698958333333334,-894.94,10,29.48634782095889,-0.1366666666666666,21,-293.78000000000003
composite_p_up,<0.3931(q0.3),21,0.47619047619047616,-0.1366666666666666,-293.78000000000003,7,37.76786221792758,-0.2698958333333334,48,-894.94
composite_p_up,>=0.425(q0.4),41,0.43902439024390244,-0.22902439024390248,-645.08,10,33.44660583843952,-0.22982142857142857,28,-543.64
composite_p_up,<0.425(q0.4),28,0.39285714285714285,-0.22982142857142857,-543.64,8,32.628413367212374,-0.22902439024390248,41,-645.08
composite_p_up,>=0.4474(q0.5),36,0.5,-0.19305555555555565,-417.42,8,42.21404207895714,-0.268939393939394,33,-771.3000000000001
composite_p_up,<0.4474(q0.5),33,0.3333333333333333,-0.268939393939394,-771.3000000000001,8,25.636846095526916,-0.19305555555555565,36,-417.42
composite_p_up,>=0.4671(q0.6),28,0.5,-0.20928571428571419,-347.22,6,55.604982206405694,-0.24304878048780487,41,-841.5
composite_p_up,<0.4671(q0.6),41,0.36585365853658536,-0.24304878048780487,-841.5,8,25.09517177344475,-0.20928571428571419,28,-347.22
composite_p_up,>=0.4787(q0.7),21,0.5238095238095238,-0.17452380952380964,-197.64,6,33.272381509654764,-0.2533333333333333,48,-991.0799999999999
composite_p_up,<0.4787(q0.7),48,0.375,-0.2533333333333333,-991.0799999999999,10,24.550817431341162,-0.17452380952380964,21,-197.64
composite_p_up,>=0.4839(q0.8),18,0.5555555555555556,-0.12388888888888894,-161.74,6,23.187673654963376,-0.2665686274509803,51,-1026.98
composite_p_up,<0.4839(q0.8),51,0.37254901960784315,-0.2665686274509803,-1026.98,10,23.78301623806537,-0.12388888888888894,18,-161.74
composite_rev,>=1(q0.4),42,0.35714285714285715,-0.2702380952380952,-915.8500000000001,10,31.160090156527527,-0.16574074074074086,27,-272.87
composite_rev,<1(q0.4),27,0.5185185185185185,-0.16574074074074086,-272.87,8,33.297108831986236,-0.2702380952380952,42,-915.8500000000001
composite_rev,>=1(q0.5),42,0.35714285714285715,-0.2702380952380952,-915.8500000000001,10,31.160090156527527,-0.16574074074074086,27,-272.87
composite_rev,<1(q0.5),27,0.5185185185185185,-0.16574074074074086,-272.87,8,33.297108831986236,-0.2702380952380952,42,-915.8500000000001
composite_rev,>=2(q0.6),31,0.3548387096774194,-0.27903225806451615,-636.1100000000001,9,37.72502980277355,-0.18881578947368421,38,-552.6099999999999
composite_rev,<2(q0.6),38,0.47368421052631576,-0.18881578947368421,-552.6099999999999,9,33.569679729404605,-0.27903225806451615,31,-636.1100000000001
composite_rev,>=3(q0.7),26,0.38461538461538464,-0.2690384615384614,-470.33,9,30.186552896902864,-0.2053488372093023,43,-718.3899999999999
composite_rev,<3(q0.7),43,0.4418604651162791,-0.2053488372093023,-718.3899999999999,9,27.19029769478547,-0.2690384615384614,26,-470.33
composite_rev,>=5(q0.8),15,0.4,-0.30466666666666664,-296.23,7,34.36048269606092,-0.2084259259259258,54,-892.49
composite_rev,<5(q0.8),54,0.42592592592592593,-0.2084259259259258,-892.49,9,23.969060155631144,-0.30466666666666664,15,-296.23
composite_trend,>=-4(q0.2),59,0.3898305084745763,-0.24440677966101693,-1127.57,10,24.390814839425815,-0.14050000000000007,10,-61.149999999999984
composite_trend,<-4(q0.2),10,0.6,-0.14050000000000007,-61.149999999999984,2,81.76614881439085,-0.24440677966101693,59,-1127.57
composite_trend,>=-4(q0.3),59,0.3898305084745763,-0.24440677966101693,-1127.57,10,24.390814839425815,-0.14050000000000007,10,-61.149999999999984
composite_trend,<-4(q0.3),10,0.6,-0.14050000000000007,-61.149999999999984,2,81.76614881439085,-0.24440677966101693,59,-1127.57
composite_trend,>=-3(q0.4),47,0.44680851063829785,-0.23191489361702122,-745.5499999999997,8,35.02640453702599,-0.22386363636363626,22,-443.16999999999996
composite_trend,<-3(q0.4),22,0.36363636363636365,-0.22386363636363626,-443.16999999999996,6,36.62227210913723,-0.23191489361702122,47,-745.5499999999997
composite_trend,>=-3(q0.5),47,0.44680851063829785,-0.23191489361702122,-745.5499999999997,8,35.02640453702599,-0.22386363636363626,22,-443.16999999999996
composite_trend,<-3(q0.5),22,0.36363636363636365,-0.22386363636363626,-443.16999999999996,6,36.62227210913723,-0.23191489361702122,47,-745.5499999999997
composite_trend,>=-3(q0.6),47,0.44680851063829785,-0.23191489361702122,-745.5499999999997,8,35.02640453702599,-0.22386363636363626,22,-443.16999999999996
composite_trend,<-3(q0.6),22,0.36363636363636365,-0.22386363636363626,-443.16999999999996,6,36.62227210913723,-0.23191489361702122,47,-745.5499999999997
composite_trend,>=-1.4(q0.7),21,0.47619047619047616,-0.2188095238095238,-216.41000000000003,4,51.332945484411894,-0.23395833333333332,48,-972.3100000000001
composite_trend,<-1.4(q0.7),48,0.3958333333333333,-0.23395833333333332,-972.3100000000001,10,19.91089215792108,-0.2188095238095238,21,-216.41000000000003
composite_trend,>=-1(q0.8),21,0.47619047619047616,-0.2188095238095238,-216.41000000000003,4,51.332945484411894,-0.23395833333333332,48,-972.3100000000001
composite_trend,<-1(q0.8),48,0.3958333333333333,-0.23395833333333332,-972.3100000000001,10,19.91089215792108,-0.2188095238095238,21,-216.41000000000003
confirmation_bias,==1.0,15,0.4666666666666667,-0.20666666666666667,-246.83999999999995,6,36.881575206141605,-0.23564814814814822,54,-941.88
confirmation_bias,==0.0,26,0.46153846153846156,-0.1907692307692307,-321.18000000000006,8,26.617745163442297,-0.2526744186046512,43,-867.5400000000001
confirmation_bias,==-1.0,28,0.35714285714285715,-0.27732142857142855,-620.7,8,24.27667916320865,-0.19658536585365854,41,-568.02
