feature,split,n_rescued,wr_rescued,edge_rescued,pnl_rescued,n_weeks,worst_wk_share,edge_remainder,n_remainder,pnl_remainder
stoch_d,>=63.91(q0.9),15,0.2,-0.4173333333333333,-382.85999999999996,4,53.54698845531003,-0.18527131782945738,129,-1851.04
stoch_d,<63.91(q0.9),129,0.37209302325581395,-0.18527131782945738,-1851.04,8,31.858592590999983,-0.4173333333333333,15,-382.85999999999996
stoch_k,>=3.132(q0.1),129,0.35658914728682173,-0.21201550387596896,-2024.34,8,34.081052641930626,-0.1873333333333334,15,-209.56
stoch_k,<3.132(q0.1),15,0.3333333333333333,-0.1873333333333334,-209.56,5,49.91410574537125,-0.21201550387596896,129,-2024.34
stoch_k,>=9.862(q0.2),115,0.3391304347826087,-0.23373913043478262,-2043.0900000000001,8,31.146449740344277,-0.1131034482758621,29,-190.81000000000003
stoch_k,<9.862(q0.2),29,0.41379310344827586,-0.1131034482758621,-190.81000000000003,6,43.1159323483047,-0.23373913043478262,115,-2043.0900000000001
stoch_k,>=15.41(q0.3),101,0.33663366336633666,-0.23499999999999993,-1818.47,8,30.49431665081085,-0.1494186046511627,43,-415.42999999999995
stoch_k,<15.41(q0.3),43,0.3953488372093023,-0.1494186046511627,-415.42999999999995,7,51.89824793529526,-0.23499999999999993,101,-1818.47
stoch_k,>=23.73(q0.4),86,0.32558139534883723,-0.2615116279069767,-1595.69,7,33.441959277804585,-0.13224137931034474,58,-638.21
stoch_k,<23.73(q0.4),58,0.39655172413793105,-0.13224137931034474,-638.21,8,48.396709297517724,-0.2615116279069767,86,-1595.69
stoch_k,>=27.66(q0.5),72,0.2916666666666667,-0.3114583333333332,-1498.97,7,33.40226955843011,-0.10743055555555553,72,-734.93
stoch_k,<27.66(q0.5),72,0.4166666666666667,-0.10743055555555553,-734.93,8,37.21760703680036,-0.3114583333333332,72,-1498.97
stoch_k,>=34.38(q0.6),58,0.27586206896551724,-0.3368103448275863,-1219.29,6,32.951008600346526,-0.12354651162790703,86,-1014.6099999999999
stoch_k,<34.38(q0.6),86,0.4069767441860465,-0.12354651162790703,-1014.6099999999999,8,36.83547886512917,-0.3368103448275863,58,-1219.29
stoch_k,>=43.7(q0.7),43,0.27906976744186046,-0.35837209302325584,-986.0700000000002,5,36.292555295263014,-0.14603960396039606,101,-1247.8299999999997
stoch_k,<43.7(q0.7),101,0.38613861386138615,-0.14603960396039606,-1247.8299999999997,8,34.98564304065286,-0.35837209302325584,43,-986.0700000000002
stoch_k,>=61.21(q0.8),29,0.1724137931034483,-0.4487931034482757,-896.58,4,38.1527582591626,-0.1490869565217391,115,-1337.3200000000002
stoch_k,<61.21(q0.8),115,0.4,-0.1490869565217391,-1337.3200000000002,8,35.56715575620768,-0.4487931034482757,29,-896.58
stoch_k,>=71.15(q0.9),15,0.2,-0.4296666666666667,-418.8399999999999,4,50.85235412090535,-0.1838372093023256,129,-1815.06
stoch_k,<71.15(q0.9),129,0.37209302325581395,-0.1838372093023256,-1815.06,8,37.14249695800401,-0.4296666666666667,15,-418.8399999999999
structure_bias,==0.0,67,0.3582089552238806,-0.24134328358208962,-1138.88,7,36.40303902536984,-0.18168831168831168,77,-1095.0200000000002
