ts,contract_ticker,p_market,tau_minutes,offset_pct,resolved_yes,d15,dir15
2026-07-07 18:30:20+00:00,KXBTCD-26JUL0715-T63799.99,0.855,29.5,-0.002084,0.0,0.04879999999999999,1.0
2026-07-07 18:30:20+00:00,KXBTCD-26JUL0715-T63899.99,0.645,29.5,-0.00052,0.0,0.04879999999999999,1.0
2026-07-07 18:32:00+00:00,KXBTCD-26JUL0715-T64099.99,0.165,27.8,0.002439,0.0,0.04879999999999999,1.0
2026-07-07 18:32:00+00:00,KXBTCD-26JUL0715-T64199.99,0.065,27.8,0.004003,0.0,0.04879999999999999,1.0
2026-07-07 18:32:00+00:00,KXBTCD-26JUL0715-T63999.99,0.415,27.8,0.000875,0.0,0.04879999999999999,1.0
2026-07-07 18:32:00+00:00,KXBTCD-26JUL0715-T63699.99,0.955,27.8,-0.003816,0.0,0.04879999999999999,1.0
2026-07-07 18:32:00+00:00,KXBTCD-26JUL0715-T63799.99,0.875,27.8,-0.002252,0.0,0.04879999999999999,1.0
2026-07-07 18:32:00+00:00,KXBTCD-26JUL0715-T63899.99,0.675,27.8,-0.000688,0.0,0.04879999999999999,1.0
2026-07-07 18:33:15+00:00,KXBTCD-26JUL0715-T63699.99,0.955,26.6,-0.003952,0.0,0.04879999999999999,1.0
2026-07-07 18:33:15+00:00,KXBTCD-26JUL0715-T63799.99,0.865,26.6,-0.002388,0.0,0.04879999999999999,1.0
2026-07-07 18:33:15+00:00,KXBTCD-26JUL0715-T63899.99,0.645,26.6,-0.000824,0.0,0.04879999999999999,1.0
2026-07-07 18:33:15+00:00,KXBTCD-26JUL0715-T63999.99,0.385,26.6,0.000739,0.0,0.04879999999999999,1.0
2026-07-07 18:33:15+00:00,KXBTCD-26JUL0715-T64099.99,0.155,26.6,0.002303,0.0,0.04879999999999999,1.0
2026-07-07 18:33:15+00:00,KXBTCD-26JUL0715-T64199.99,0.065,26.6,0.003866,0.0,0.04879999999999999,1.0
2026-07-07 18:34:27+00:00,KXBTCD-26JUL0715-T64099.99,0.135,25.3,0.002569,0.0,0.2,1.0
2026-07-07 18:34:27+00:00,KXBTCD-26JUL0715-T64199.99,0.045,25.3,0.004133,0.0,0.2,1.0
2026-07-07 18:34:27+00:00,KXBTCD-26JUL0715-T63999.99,0.355,25.3,0.001005,0.0,0.2,1.0
2026-07-07 18:34:27+00:00,KXBTCD-26JUL0715-T63699.99,0.955,25.3,-0.003687,0.0,0.2,1.0
2026-07-07 18:34:27+00:00,KXBTCD-26JUL0715-T63799.99,0.855,25.3,-0.002123,0.0,0.2,1.0
2026-07-07 18:34:27+00:00,KXBTCD-26JUL0715-T63899.99,0.625,25.3,-0.000559,0.0,0.2,1.0
2026-07-07 18:52:13+00:00,KXBTCD-26JUL0715-T63599.99,0.905,7.5,-0.002327,1.0,0.2,1.0
2026-07-07 18:52:13+00:00,KXBTCD-26JUL0715-T63699.99,0.695,7.5,-0.000758,0.0,0.2,1.0
2026-07-07 18:52:13+00:00,KXBTCD-26JUL0715-T63799.99,0.335,7.5,0.000811,0.0,0.2,1.0
2026-07-07 18:52:13+00:00,KXBTCD-26JUL0715-T63899.99,0.115,7.5,0.002379,0.0,0.2,1.0
2026-07-07 19:12:19+00:00,KXBTCD-26JUL0716-T63599.99,0.37,47.5,0.00137,1.0,0.08960000000000005,1.0
2026-07-07 19:12:19+00:00,KXBTCD-26JUL0716-T63999.99,0.035,47.5,0.007668,0.0,0.08960000000000005,1.0
2026-07-07 19:12:19+00:00,KXBTCD-26JUL0716-T63799.99,0.145,47.5,0.004519,0.0,0.08960000000000005,1.0
2026-07-07 19:12:19+00:00,KXBTCD-26JUL0716-T63699.99,0.235,47.5,0.002945,1.0,0.08960000000000005,1.0
2026-07-07 19:12:19+00:00,KXBTCD-26JUL0716-T63499.99,0.515,47.5,-0.000204,1.0,0.08960000000000005,1.0
2026-07-07 19:12:19+00:00,KXBTCD-26JUL0716-T63899.99,0.075,47.5,0.006094,0.0,0.08960000000000005,1.0
2026-07-07 19:12:19+00:00,KXBTCD-26JUL0716-T63299.99,0.785,47.5,-0.003353,1.0,0.08960000000000005,1.0
2026-07-07 19:12:19+00:00,KXBTCD-26JUL0716-T63199.99,0.875,47.5,-0.004928,1.0,0.08960000000000005,1.0
2026-07-07 19:12:19+00:00,KXBTCD-26JUL0716-T63099.99,0.925,47.5,-0.006502,1.0,0.08960000000000005,1.0
2026-07-07 19:12:19+00:00,KXBTCD-26JUL0716-T62999.99,0.955,47.5,-0.008076,1.0,0.08960000000000005,1.0
2026-07-07 19:12:19+00:00,KXBTCD-26JUL0716-T63399.99,0.665,47.5,-0.001779,1.0,0.08960000000000005,1.0
2026-07-07 19:13:32+00:00,KXBTCD-26JUL0716-T63899.99,0.115,46.3,0.005438,0.0,0.08960000000000005,1.0
2026-07-07 19:13:32+00:00,KXBTCD-26JUL0716-T63799.99,0.195,46.3,0.003864,0.0,0.08960000000000005,1.0
2026-07-07 19:13:32+00:00,KXBTCD-26JUL0716-T63699.99,0.315,46.3,0.002291,1.0,0.08960000000000005,1.0
2026-07-07 19:13:32+00:00,KXBTCD-26JUL0716-T63599.99,0.445,46.3,0.000717,1.0,0.08960000000000005,1.0
2026-07-07 19:13:32+00:00,KXBTCD-26JUL0716-T63499.99,0.615,46.3,-0.000856,1.0,0.08960000000000005,1.0
2026-07-07 19:13:32+00:00,KXBTCD-26JUL0716-T63999.99,0.055,46.3,0.007011,0.0,0.08960000000000005,1.0
2026-07-07 19:13:32+00:00,KXBTCD-26JUL0716-T63299.99,0.845,46.3,-0.004003,1.0,0.08960000000000005,1.0
2026-07-07 19:13:32+00:00,KXBTCD-26JUL0716-T63199.99,0.905,46.3,-0.005577,1.0,0.08960000000000005,1.0
2026-07-07 19:13:32+00:00,KXBTCD-26JUL0716-T63099.99,0.945,46.3,-0.00715,1.0,0.08960000000000005,1.0
2026-07-07 19:13:32+00:00,KXBTCD-26JUL0716-T62999.99,0.965,46.3,-0.008723,1.0,0.08960000000000005,1.0
2026-07-07 19:13:32+00:00,KXBTCD-26JUL0716-T63399.99,0.745,46.3,-0.00243,1.0,0.08960000000000005,1.0
2026-07-07 19:14:44+00:00,KXBTCD-26JUL0716-T63999.99,0.035,45.1,0.00783,0.0,0.08960000000000005,1.0
2026-07-07 19:14:44+00:00,KXBTCD-26JUL0716-T63899.99,0.075,45.1,0.006255,0.0,0.08960000000000005,1.0
2026-07-07 19:14:44+00:00,KXBTCD-26JUL0716-T63799.99,0.135,45.1,0.00468,0.0,0.08960000000000005,1.0
