logged_at,logged_at_parsed,contract_ticker,side,would_win,would_pnl,p_up_v3_backfill,v3_agree_backfill
2026-06-13 06:51:05.102143+00:00,2026-06-13 06:51:05.102143+00:00,KXBTC15M-26JUN130300-00,no,0.0,-11.62,0.5028186007897891,0
2026-06-13 08:01:53.773871+00:00,2026-06-13 08:01:53.773871+00:00,KXBTC15M-26JUN130415-15,no,1.0,25.73,0.47519792459681454,1
2026-06-13 08:22:08.634566+00:00,2026-06-13 08:22:08.634566+00:00,KXBTC15M-26JUN130430-30,no,0.0,-41.53,0.47519792459681454,1
2026-06-13 08:37:18.877258+00:00,2026-06-13 08:37:18.877258+00:00,KXBTC15M-26JUN130445-45,yes,1.0,13.86,0.47519792459681454,0
2026-06-13 08:47:24.951318+00:00,2026-06-13 08:47:24.951318+00:00,KXBTC15M-26JUN130500-00,no,1.0,37.76,0.47519792459681454,1
2026-06-13 09:12:41.141241+00:00,2026-06-13 09:12:41.141241+00:00,KXBTC15M-26JUN130515-15,no,1.0,80.73,0.5091089415866372,0
2026-06-13 09:22:50.870385+00:00,2026-06-13 09:22:50.870385+00:00,KXBTC15M-26JUN130530-30,yes,1.0,10.69,0.5091089415866372,1
2026-06-13 09:38:00.980724+00:00,2026-06-13 09:38:00.980724+00:00,KXBTC15M-26JUN130545-45,no,1.0,23.0,0.5091089415866372,0
2026-06-13 09:48:06.929150+00:00,2026-06-13 09:48:06.929150+00:00,KXBTC15M-26JUN130600-00,no,1.0,30.02,0.5091089415866372,0
2026-06-13 10:08:20.278262+00:00,2026-06-13 10:08:20.278262+00:00,KXBTC15M-26JUN130615-15,yes,1.0,7.0,0.5164383654499717,1
2026-06-13 10:18:25.941515+00:00,2026-06-13 10:18:25.941515+00:00,KXBTC15M-26JUN130630-30,no,1.0,26.95,0.5164383654499717,0
2026-06-13 10:33:35.301757+00:00,2026-06-13 10:33:35.301757+00:00,KXBTC15M-26JUN130645-45,yes,1.0,10.32,0.5164383654499717,1
2026-06-13 11:19:06.670929+00:00,2026-06-13 11:19:06.670929+00:00,KXBTC15M-26JUN130730-30,yes,1.0,13.55,0.5031614633134607,1
2026-06-13 11:49:27.505966+00:00,2026-06-13 11:49:27.505966+00:00,KXBTC15M-26JUN130800-00,no,0.0,-46.01,0.5031614633134607,0
2026-06-13 12:04:36.574431+00:00,2026-06-13 12:04:36.574431+00:00,KXBTC15M-26JUN130815-15,no,1.0,28.9,0.44828531947256356,1
2026-06-13 13:35:35.817840+00:00,2026-06-13 13:35:35.817840+00:00,KXBTC15M-26JUN130945-45,no,1.0,39.99,0.3915323740485223,1
2026-06-13 14:05:54.997932+00:00,2026-06-13 14:05:54.997932+00:00,KXBTC15M-26JUN131015-15,yes,1.0,10.66,0.5336298428116583,1
2026-06-13 14:36:16.806102+00:00,2026-06-13 14:36:16.806102+00:00,KXBTC15M-26JUN131045-45,yes,1.0,6.97,0.5336298428116583,1
2026-06-13 14:51:27.648884+00:00,2026-06-13 14:51:27.648884+00:00,KXBTC15M-26JUN131100-00,no,0.0,-52.71,0.5336298428116583,0
2026-06-13 15:06:38.282909+00:00,2026-06-13 15:06:38.282909+00:00,KXBTC15M-26JUN131115-15,yes,1.0,9.22,0.42833908936431486,0
2026-06-13 16:36:05.621118+00:00,2026-06-13 16:36:05.621118+00:00,KXBTC15M-26JUN131245-45,no,0.0,-44.62,0.42913800532267116,1
2026-06-13 19:16:39.453160+00:00,2026-06-13 19:16:39.453160+00:00,KXBTC15M-26JUN131530-30,no,1.0,37.76,0.5451418628672366,0
2026-06-13 20:34:30.644729+00:00,2026-06-13 20:34:30.644729+00:00,KXBTC15M-26JUN131645-45,no,1.0,57.78,0.40966621807573134,1
2026-06-14 00:23:59.706805+00:00,2026-06-14 00:23:59.706805+00:00,KXBTC15M-26JUN132030-30,yes,1.0,5.4,0.48099481773898084,0
2026-06-15 03:50:45.286346+00:00,2026-06-15 03:50:45.286346+00:00,KXBTC15M-26JUN150000-00,yes,1.0,10.23,0.5513940179313657,1
2026-06-15 04:16:05.658605+00:00,2026-06-15 04:16:05.658605+00:00,KXBTC15M-26JUN150030-30,no,1.0,49.87,0.46069333615389535,1
2026-06-15 04:51:31.113289+00:00,2026-06-15 04:51:31.113289+00:00,KXBTC15M-26JUN150100-00,no,1.0,65.55,0.46069333615389535,1
2026-06-15 05:16:50.690152+00:00,2026-06-15 05:16:50.690152+00:00,KXBTC15M-26JUN150130-30,yes,1.0,13.57,0.4889757446232851,0
2026-06-15 05:32:00.798662+00:00,2026-06-15 05:32:00.798662+00:00,KXBTC15M-26JUN150145-45,no,1.0,39.77,0.4889757446232851,1
2026-06-15 05:47:11.526514+00:00,2026-06-15 05:47:11.526514+00:00,KXBTC15M-26JUN150200-00,no,0.0,-42.92,0.4889757446232851,1
2026-06-15 06:22:37.816968+00:00,2026-06-15 06:22:37.816968+00:00,KXBTC15M-26JUN150230-30,no,0.0,-55.12,0.433096833509227,1
2026-06-15 06:53:00.930969+00:00,2026-06-15 06:53:00.930969+00:00,KXBTC15M-26JUN150300-00,yes,1.0,6.37,0.433096833509227,0
2026-06-15 07:03:09.640011+00:00,2026-06-15 07:03:09.640011+00:00,KXBTC15M-26JUN150315-15,no,0.0,-52.17,0.4627864790300925,1
2026-06-15 07:18:20.531276+00:00,2026-06-15 07:18:20.531276+00:00,KXBTC15M-26JUN150330-30,yes,1.0,7.05,0.4627864790300925,0
2026-06-15 07:48:42.714221+00:00,2026-06-15 07:48:42.714221+00:00,KXBTC15M-26JUN150400-00,no,1.0,22.12,0.4627864790300925,1
2026-06-15 08:19:06.709253+00:00,2026-06-15 08:19:06.709253+00:00,KXBTC15M-26JUN150430-30,no,1.0,21.74,0.551723209281899,0
2026-06-15 08:34:17.950436+00:00,2026-06-15 08:34:17.950436+00:00,KXBTC15M-26JUN150445-45,yes,1.0,4.13,0.551723209281899,1
2026-06-15 08:49:28.861019+00:00,2026-06-15 08:49:28.861019+00:00,KXBTC15M-26JUN150500-00,no,1.0,36.34,0.551723209281899,0
2026-06-15 09:19:52.533337+00:00,2026-06-15 09:19:52.533337+00:00,KXBTC15M-26JUN150530-30,yes,0.0,-56.88,0.5219959295168581,1
2026-06-15 09:50:14.555974+00:00,2026-06-15 09:50:14.555974+00:00,KXBTC15M-26JUN150600-00,no,0.0,-45.12,0.5219959295168581,0
2026-06-15 10:25:39.716482+00:00,2026-06-15 10:25:39.716482+00:00,KXBTC15M-26JUN150630-30,no,1.0,32.12,0.5114028017788086,0
2026-06-15 10:35:47.435312+00:00,2026-06-15 10:35:47.435312+00:00,KXBTC15M-26JUN150645-45,no,0.0,-46.03,0.5114028017788086,0
2026-06-15 11:31:29.239442+00:00,2026-06-15 11:31:29.239442+00:00,KXBTC15M-26JUN150745-45,yes,0.0,-41.7,0.44952173889008684,0
2026-06-15 11:51:45.221996+00:00,2026-06-15 11:51:45.221996+00:00,KXBTC15M-26JUN150800-00,yes,1.0,9.45,0.44952173889008684,0
2026-06-15 12:06:58.460846+00:00,2026-06-15 12:06:58.460846+00:00,KXBTC15M-26JUN150815-15,no,0.0,-47.38,0.46655496084654563,1
2026-06-15 12:32:16.447492+00:00,2026-06-15 12:32:16.447492+00:00,KXBTC15M-26JUN150845-45,no,0.0,-41.53,0.46655496084654563,1
2026-06-15 12:47:27.541550+00:00,2026-06-15 12:47:27.541550+00:00,KXBTC15M-26JUN150900-00,yes,1.0,23.08,0.46655496084654563,0
2026-06-15 13:07:44.563040+00:00,2026-06-15 13:07:44.563040+00:00,KXBTC15M-26JUN150915-15,yes,1.0,4.25,0.42888938441644764,0
2026-06-15 13:17:51.350712+00:00,2026-06-15 13:17:51.350712+00:00,KXBTC15M-26JUN150930-30,yes,1.0,9.8,0.42888938441644764,0
2026-06-15 13:48:13.463012+00:00,2026-06-15 13:48:13.463012+00:00,KXBTC15M-26JUN151000-00,no,1.0,46.54,0.42888938441644764,1
2026-06-15 14:18:36.629760+00:00,2026-06-15 14:18:36.629760+00:00,KXBTC15M-26JUN151030-30,yes,1.0,13.75,0.5254805699710805,1
2026-06-15 15:34:35.611166+00:00,2026-06-15 15:34:35.611166+00:00,KXBTC15M-26JUN151145-45,no,0.0,-29.84,0.4333893460980288,1
2026-06-15 16:35:24.139936+00:00,2026-06-15 16:35:24.139936+00:00,KXBTC15M-26JUN151245-45,yes,0.0,-29.45,0.4764650640213209,0
2026-06-15 17:46:21.672897+00:00,2026-06-15 17:46:21.672897+00:00,KXBTC15M-26JUN151400-00,no,1.0,27.2,0.5010394968550815,0
2026-06-15 18:01:34.943047+00:00,2026-06-15 18:01:34.943047+00:00,KXBTC15M-26JUN151415-15,no,1.0,35.34,0.48084121231408933,1
2026-06-15 18:32:01.767049+00:00,2026-06-15 18:32:01.767049+00:00,KXBTC15M-26JUN151445-45,no,1.0,14.04,0.48084121231408933,1
2026-06-15 18:47:13.433772+00:00,2026-06-15 18:47:13.433772+00:00,KXBTC15M-26JUN151500-00,no,1.0,39.77,0.48084121231408933,1
2026-06-15 19:02:27.234629+00:00,2026-06-15 19:02:27.234629+00:00,KXBTC15M-26JUN151515-15,yes,1.0,7.67,0.4657566309392435,0
2026-06-15 19:48:05.870116+00:00,2026-06-15 19:48:05.870116+00:00,KXBTC15M-26JUN151600-00,no,1.0,12.1,0.4657566309392435,1
2026-06-15 20:18:31.319058+00:00,2026-06-15 20:18:31.319058+00:00,KXBTC15M-26JUN151630-30,no,1.0,15.62,0.5456102543857486,0
2026-06-15 21:04:06.973471+00:00,2026-06-15 21:04:06.973471+00:00,KXBTC15M-26JUN151715-15,no,1.0,55.59,0.5626938343246353,0
2026-06-15 21:49:42.807357+00:00,2026-06-15 21:49:42.807357+00:00,KXBTC15M-26JUN151800-00,no,1.0,17.34,0.5626938343246353,0
2026-06-15 22:20:11.096974+00:00,2026-06-15 22:20:11.096974+00:00,KXBTC15M-26JUN151830-30,no,1.0,29.14,0.5182628454577616,0
2026-06-15 23:20:59.993432+00:00,2026-06-15 23:20:59.993432+00:00,KXBTC15M-26JUN151930-30,no,1.0,6.51,0.5485580118656644,0
2026-06-15 23:31:08.244022+00:00,2026-06-15 23:31:08.244022+00:00,KXBTC15M-26JUN151945-45,no,0.0,-44.29,0.5485580118656644,0
2026-06-16 00:31:59.628711+00:00,2026-06-16 00:31:59.628711+00:00,KXBTC15M-26JUN152045-45,yes,1.0,2.94,0.4682133529236757,0
2026-06-16 01:42:58.266706+00:00,2026-06-16 01:42:58.266706+00:00,KXBTC15M-26JUN152145-45,no,1.0,52.01,0.5624398995256723,0
2026-06-16 02:03:16.863231+00:00,2026-06-16 02:03:16.863231+00:00,KXBTC15M-26JUN152215-15,no,1.0,44.94,0.5233398816082003,0
2026-06-16 02:18:29.110361+00:00,2026-06-16 02:18:29.110361+00:00,KXBTC15M-26JUN152230-30,no,1.0,38.85,0.5233398816082003,0
2026-06-16 02:48:51.696793+00:00,2026-06-16 02:48:51.696793+00:00,KXBTC15M-26JUN152300-00,no,1.0,33.21,0.5233398816082003,0
2026-06-16 03:19:15.513544+00:00,2026-06-16 03:19:15.513544+00:00,KXBTC15M-26JUN152330-30,no,0.0,-18.05,0.5614552961325795,0
2026-06-16 03:54:44.366782+00:00,2026-06-16 03:54:44.366782+00:00,KXBTC15M-26JUN160000-00,no,0.0,-32.94,0.5614552961325795,0
2026-06-16 04:09:57.388258+00:00,2026-06-16 04:09:57.388258+00:00,KXBTC15M-26JUN160015-15,yes,0.0,-36.3,0.4784601619653244,0
2026-06-16 05:34:00.576553+00:00,2026-06-16 05:34:00.576553+00:00,KXBTC15M-26JUN160145-45,no,0.0,-39.15,0.5264155535670567,0
2026-06-16 05:49:11.801446+00:00,2026-06-16 05:49:11.801446+00:00,KXBTC15M-26JUN160200-00,no,1.0,29.14,0.5264155535670567,0
2026-06-16 06:04:23.514904+00:00,2026-06-16 06:04:23.514904+00:00,KXBTC15M-26JUN160215-15,yes,1.0,14.94,0.4915388259065538,0
2026-06-16 07:20:20.588950+00:00,2026-06-16 07:20:20.588950+00:00,KXBTC15M-26JUN160330-30,yes,0.0,-45.53,0.4720959778402294,0
2026-06-16 07:35:32.247154+00:00,2026-06-16 07:35:32.247154+00:00,KXBTC15M-26JUN160345-45,yes,0.0,-29.7,0.4720959778402294,0
2026-06-16 07:55:46.610968+00:00,2026-06-16 07:55:46.610968+00:00,KXBTC15M-26JUN160400-00,yes,1.0,8.33,0.4720959778402294,0
2026-06-16 08:36:17.849195+00:00,2026-06-16 08:36:17.849195+00:00,KXBTC15M-26JUN160445-45,yes,1.0,7.36,0.4973596104948471,0
2026-06-16 08:46:26.750614+00:00,2026-06-16 08:46:26.750614+00:00,KXBTC15M-26JUN160500-00,no,0.0,-38.85,0.4973596104948471,1
2026-06-16 09:32:03.230154+00:00,2026-06-16 09:32:03.230154+00:00,KXBTC15M-26JUN160545-45,yes,1.0,9.8,0.4292143086607385,0
2026-06-16 10:07:30.630744+00:00,2026-06-16 10:07:30.630744+00:00,KXBTC15M-26JUN160615-15,yes,1.0,10.25,0.5486191697214939,1
2026-06-16 10:17:39.273360+00:00,2026-06-16 10:17:39.273360+00:00,KXBTC15M-26JUN160630-30,yes,1.0,10.33,0.5486191697214939,1
2026-06-16 10:32:50.959026+00:00,2026-06-16 10:32:50.959026+00:00,KXBTC15M-26JUN160645-45,no,1.0,25.73,0.5486191697214939,0
2026-06-16 10:48:02.521472+00:00,2026-06-16 10:48:02.521472+00:00,KXBTC15M-26JUN160700-00,no,1.0,45.47,0.5486191697214939,0
2026-06-16 11:33:37.407199+00:00,2026-06-16 11:33:37.407199+00:00,KXBTC15M-26JUN160745-45,no,1.0,13.92,0.5121679240366853,0
2026-06-16 11:53:52.236573+00:00,2026-06-16 11:53:52.236573+00:00,KXBTC15M-26JUN160800-00,no,0.0,-34.45,0.5121679240366853,0
