config,week,n,auc,rank_ic
B,2025-04-03/2025-04-09,168,0.4436193222782985,-0.09681528622928726
B,2025-04-10/2025-04-16,168,0.6044050343249427,0.1800673088350908
B,2025-04-17/2025-04-23,168,0.5036979092589958,0.006396484008486223
B,2025-04-24/2025-04-30,168,0.44996415770609316,-0.08616972794808986
B,2025-05-01/2025-05-07,168,0.529128277817151,0.050484667973392065
B,2025-05-08/2025-05-14,168,0.48900241237405995,-0.019037143868242713
B,2025-05-15/2025-05-21,168,0.4648208933923219,-0.060821622348392376
B,2025-05-22/2025-05-28,168,0.4963068181818182,-0.0064875546737092294
B,2025-05-29/2025-06-04,168,0.5251742284170103,0.043811279935877225
B,2025-06-05/2025-06-11,168,0.5394586894586895,0.06869368634061346
B,2025-06-12/2025-06-18,168,0.47845012130726416,-0.03719657446481827
B,2025-06-19/2025-06-25,168,0.5179305457122608,0.031056753746728144
B,2025-06-26/2025-07-02,168,0.5116213151927438,0.020175648826050174
B,2025-07-03/2025-07-09,168,0.5732470487839567,0.12666638323234633
B,2025-07-10/2025-07-16,168,0.47279829545454544,-0.047062328114989095
B,2025-07-17/2025-07-23,168,0.5927396483267159,0.16058790408686752
B,2025-07-24/2025-07-30,168,0.4925584691708008,-0.012888685390551213
B,2025-07-31/2025-08-06,168,0.5152316933638443,0.026266585252767267
B,2025-08-07/2025-08-13,168,0.5142000856286569,0.024510527168204732
B,2025-08-14/2025-08-20,168,0.5295602018745494,0.050761217399464216
B,2025-08-21/2025-08-27,168,0.5056012478729438,0.009699184037273916
B,2025-08-28/2025-09-03,168,0.5262225372076541,0.045450039651101
B,2025-09-04/2025-09-10,168,0.4660931899641578,-0.058482091329360615
B,2025-09-11/2025-09-17,168,0.4995747696669029,-0.0007365965210285488
B,2025-09-18/2025-09-24,168,0.5010630758327428,0.0018695194867540395
B,2025-09-25/2025-10-01,168,0.5281035469107552,0.048456401017970996
B,2025-10-02/2025-10-08,168,0.5590837733694877,0.10198201585201931
B,2025-10-09/2025-10-15,135,0.45568181818181813,-0.07543581249559293
B,2025-10-16/2025-10-22,168,0.5593196314670447,0.10273947978174883
B,2025-10-23/2025-10-29,168,0.5590243208647419,0.10205385330042445
B,2025-10-30/2025-11-05,168,0.6285430839002268,0.22264709659843662
B,2025-11-06/2025-11-12,168,0.4963814389101745,-0.006263644196229903
B,2025-11-13/2025-11-19,168,0.558156129584701,0.10038078542388189
B,2025-11-20/2025-11-26,168,0.5523255813953488,0.09060647808075441
B,2025-11-27/2025-12-03,168,0.5707951945080093,0.12206574302236967
B,2025-12-04/2025-12-10,168,0.5582517383283667,0.10083238990401469
B,2025-12-11/2025-12-17,168,0.5662223482699944,0.11466998716453201
B,2025-12-18/2025-12-24,168,0.5565340909090909,0.0978105672617157
B,2025-12-25/2025-12-31,168,0.5170800850460666,0.029582002743561927
B,2026-01-01/2026-01-07,168,0.5542597070118048,0.09381559309015546
B,2026-01-08/2026-01-14,168,0.6137266023823029,0.19692802546882826
B,2026-01-15/2026-01-21,168,0.4949942791762013,-0.008630905661876775
B,2026-01-22/2026-01-28,168,0.6126720590322123,0.19503293275425682
B,2026-01-29/2026-02-04,168,0.5026041666666666,0.00446436480308156
B,2026-02-05/2026-02-11,168,0.5419034090909092,0.07249782813739782
B,2026-02-12/2026-02-18,168,0.5286443562110039,0.04960029423390893
B,2026-02-19/2026-02-25,168,0.4702033850092448,-0.05151865465894513
B,2026-02-26/2026-03-04,168,0.5413182140326008,0.07156144232156268
