feature,split,n,episodes,edge,ep_edge,P_pos,wk_neg_frac,n_weeks,streak_hits,pnl
cg_futures_delta_4h,>= 2.019e+07,315,115,-0.04849047619047619,-0.06143300781370519,0.030666666666666665,0.7777777777777778,9,0,-1021.1199999999999
cg_futures_delta_4h,>= 4.112e+07,156,58,-0.07429487179487179,-0.0804049603617309,0.028666666666666667,0.8888888888888888,9,0,-616.1799999999998
cg_futures_ratio_4h,>= 0.951,936,326,-0.013862179487179485,-0.0026935895103901994,0.448,0.6666666666666666,9,4,-60.23000000000002
cg_futures_ratio_4h,>= 0.9786,782,276,-0.01688618925831202,-0.0075476513424444554,0.359,0.5555555555555556,9,4,-189.07000000000005
cg_futures_ratio_4h,>= 1.003,626,219,-0.021836261980830666,-0.016457357447326054,0.24566666666666667,0.6666666666666666,9,0,-597.4499999999998
cg_futures_ratio_4h,>= 1.043,467,167,-0.02926017130620985,-0.035407103339137026,0.101,0.6666666666666666,9,0,-746.1000000000001
cg_futures_ratio_4h,>= 1.084,315,103,-0.03263809523809524,-0.06462724324611183,0.018333333333333333,0.6666666666666666,9,0,-713.59
cg_futures_ratio_4h,>= 1.141,157,53,-0.02621656050955414,-0.05413253334038018,0.12,0.7777777777777778,9,0,-185.60999999999996
cg_futures_cvd_12h,>= 3.177e+07,312,101,-0.005157051282051274,0.013169972365093657,0.6416666666666667,0.5555555555555556,9,0,286.03000000000026
cg_futures_cvd_12h,>= 6.28e+07,159,51,-0.04323270440251572,-0.03605189074215545,0.229,0.625,8,0,-520.79
r_chg_5m,< -0.1819,155,128,-0.038032258064516135,-0.04407868706597222,0.135,0.7777777777777778,9,0,-132.29999999999995
r_chg_5m,< -0.1094,312,210,-0.013317307692307696,-0.027830140740740736,0.16833333333333333,0.6666666666666666,9,0,373.81
r_chg_5m,< -0.05804,467,284,-0.015663811563169164,-0.0244955653597511,0.169,0.5555555555555556,9,0,164.60000000000002
r_bb_pctb_5m,< 0.1156,156,114,-0.05727884615384616,-0.10019044590643277,0.006333333333333333,0.4444444444444444,9,0,-86.0200000000001
r_bb_pctb_5m,< 0.2173,312,176,-0.04006570512820513,-0.05946339666756853,0.023666666666666666,0.6666666666666666,9,0,57.86000000000007
r_bb_pctb_5m,< 0.3133,467,237,-0.017838329764453965,-0.0406749321553388,0.057,0.5555555555555556,9,0,537.6699999999995
r_bb_pctb_5m,< 0.4258,623,288,-0.01815008025682183,-0.04685732483878968,0.016666666666666666,0.5555555555555556,9,0,364.0300000000002
r_bb_pctb_5m,< 0.5363,778,335,-0.0077795629820051415,-0.029302644148306085,0.07233333333333333,0.4444444444444444,9,0,595.3999999999999
r_bb_width_5m,>= 0.008802,934,360,-0.0118110278372591,-0.011151131168914679,0.289,0.5555555555555556,9,4,-639.2299999999999
r_bb_width_5m,>= 0.01042,779,322,-0.016247111681643132,-0.004342282980462719,0.4076666666666667,0.4444444444444444,9,3,-1090.2200000000003
r_bb_width_5m,>= 0.01898,312,138,-0.01603365384615384,-0.020834980495953326,0.25566666666666665,0.6666666666666666,9,0,-930.7
r_bb_width_5m,>= 0.02519,156,79,-0.025705128205128203,-0.03191762432188065,0.24566666666666667,0.6666666666666666,9,0,-496.44000000000005
