logged_at,contract_ticker,p_market,decision,side,would_win,would_pnl,asset,logged_at_p,effective,smc_state,be,won
2026-04-11 23:11:24,KXBTCD-26APR1120-T73199.99,0.205,trade,yes,False,-39.6,BTC,2026-04-11 23:11:24+00:00,2026-04-11 23:00:00+00:00,0.0,0.205,False
2026-04-12 00:00:33,KXBTCD-26APR1121-T73199.99,0.21,trade,no,True,13.29,BTC,2026-04-12 00:00:33+00:00,2026-04-12 00:00:00+00:00,0.0,0.79,True
2026-04-12 00:01:37,KXBTCD-26APR1121-T72999.99,0.615,trade,yes,True,31.3,BTC,2026-04-12 00:01:37+00:00,2026-04-12 00:00:00+00:00,0.0,0.615,True
2026-04-12 00:20:50,KXBTCD-26APR1121-T73099.99,0.395,trade,no,False,-50.0,BTC,2026-04-12 00:20:50+00:00,2026-04-12 00:00:00+00:00,0.0,0.605,False
2026-04-12 01:04:44,KXBTCD-26APR1122-T73199.99,0.225,trade,no,True,14.52,BTC,2026-04-12 01:04:44+00:00,2026-04-12 01:00:00+00:00,0.0,0.775,True
2026-04-12 01:27:12,KXBTCD-26APR1122-T72999.99,0.675,trade,yes,False,-50.0,BTC,2026-04-12 01:27:12+00:00,2026-04-12 01:00:00+00:00,0.0,0.675,False
2026-04-12 01:37:56,KXBTCD-26APR1122-T72599.99,0.115,trade,yes,False,-39.05,BTC,2026-04-12 01:37:56+00:00,2026-04-12 01:00:00+00:00,0.0,0.115,False
2026-04-12 02:00:26,KXBTCD-26APR1123-T71999.99,0.18,trade,yes,False,-23.89,BTC,2026-04-12 02:00:26+00:00,2026-04-12 02:00:00+00:00,1.0,0.18,False
2026-04-12 02:11:07,KXBTCD-26APR1123-T72099.99,0.125,trade,yes,False,-25.64,BTC,2026-04-12 02:11:07+00:00,2026-04-12 02:00:00+00:00,1.0,0.125,False
2026-04-12 02:21:53,KXBTCD-26APR1123-T72199.99,0.145,trade,yes,False,-22.32,BTC,2026-04-12 02:21:53+00:00,2026-04-12 02:00:00+00:00,1.0,0.145,False
