feature,split,n_rescued,wr_rescued,edge_rescued,pnl_rescued,n_weeks,worst_wk_share,edge_remainder,pnl_remainder
smc_1h,==bearish,91,0.5604395604395604,-0.12835164835164847,-849.3900000000002,8,31.898731227645015,-0.06468085106382981,-2932.6500000000005
smc_4h,==bullish,67,0.5373134328358209,-0.14014925373134324,-544.0600000000001,4,49.143648989505806,-0.06633109619686794,-3237.9800000000005
smc_4h,==bearish,102,0.5490196078431373,-0.16117647058823503,-1224.92,7,21.54198401208535,-0.05485436893203888,-2557.12
spread,>=0.02(q0.2),450,0.5733333333333334,-0.07816666666666672,-3253.32,12,21.529066756660832,-0.06039062499999992,-528.72
spread,<0.02(q0.2),64,0.578125,-0.06039062499999992,-528.72,11,29.043051527994646,-0.07816666666666672,-3253.32
spread,>=0.03(q0.3),408,0.5661764705882353,-0.08268382352941184,-3025.55,12,28.83691104092855,-0.050047169811320846,-756.49
spread,<0.03(q0.3),106,0.6037735849056604,-0.050047169811320846,-756.49,11,27.22920131964675,-0.08268382352941184,-3025.55
spread,>=0.04(q0.4),333,0.5765765765765766,-0.0746546546546547,-2339.6000000000004,12,29.12283403303454,-0.07834254143646413,-1442.44
spread,<0.04(q0.4),181,0.569060773480663,-0.07834254143646413,-1442.44,12,17.372024378911693,-0.0746546546546547,-2339.6000000000004
spread,>=0.05(q0.5),262,0.6259541984732825,-0.04438931297709914,-1333.09,11,24.082599354909693,-0.10876984126984113,-2448.9500000000003
spread,<0.05(q0.5),252,0.5198412698412699,-0.10876984126984113,-2448.9500000000003,12,17.235335405595105,-0.04438931297709914,-1333.09
spread,>=0.07(q0.6),211,0.6208530805687204,-0.04381516587677725,-1139.9,9,31.35750306664849,-0.09833333333333327,-2642.1400000000003
spread,<0.07(q0.6),303,0.5412541254125413,-0.09833333333333327,-2642.1400000000003,12,14.853111492956467,-0.04381516587677725,-1139.9
spread,>=0.11(q0.7),160,0.65625,-0.03168749999999998,-494.51000000000005,9,37.459163614249945,-0.0959604519774011,-3287.53
spread,<0.11(q0.7),354,0.536723163841808,-0.0959604519774011,-3287.53,12,17.664629676383186,-0.03168749999999998,-494.51000000000005
spread,>=0.14(q0.8),114,0.6578947368421053,-0.023771929824561333,-272.40999999999997,7,25.027959591514957,-0.09082499999999993,-3509.63
spread,<0.14(q0.8),400,0.55,-0.09082499999999993,-3509.63,12,21.41935189749347,-0.023771929824561333,-272.40999999999997
spread,>=0.19(q0.9),53,0.7358490566037735,0.022641509433962148,-85.26,6,48.86184358800992,-0.08728850325379611,-3696.7800000000007
spread,<0.19(q0.9),461,0.5553145336225597,-0.08728850325379611,-3696.7800000000007,12,18.182310010333318,0.022641509433962148,-85.26
squeeze_1h,==True,64,0.53125,-0.16796875,-600.9100000000001,7,28.694312912686577,-0.06286666666666663,-3181.13
squeeze_1h,==False,94,0.5638297872340425,-0.1334042553191489,-1049.45,8,26.804516651579398,-0.0630952380952381,-2732.59
stoch_bias,==-1.0,107,0.5700934579439252,-0.12794392523364484,-1057.63,11,21.738218284299666,-0.062285012285012376,-2724.41
stoch_bias,==0.0,276,0.5905797101449275,-0.08780797101449278,-2081.08,12,21.644050204701408,-0.06220588235294122,-1700.96
stoch_bias,==1.0,131,0.5419847328244275,-0.008511450381679442,-643.3299999999999,12,37.670388766478695,-0.09902088772845952,-3138.7100000000005
stoch_crossover_active,==False,385,0.574025974025974,-0.08361038961038969,-3046.88,12,19.988629690252775,-0.05310077519379841,-735.1599999999999
stoch_crossover_active,==True,129,0.5736434108527132,-0.05310077519379841,-735.1599999999999,12,31.475264458098433,-0.08361038961038969,-3046.88
stoch_d,>=13.71(q0.1),462,0.5714285714285714,-0.0884848484848485,-3683.8400000000006,12,26.7856756873595,0.03538461538461535,-98.20000000000002
stoch_d,<13.71(q0.1),52,0.5961538461538461,0.03538461538461535,-98.20000000000002,10,28.007546721335824,-0.0884848484848485,-3683.8400000000006
stoch_d,>=21.11(q0.2),411,0.583941605839416,-0.08659367396593687,-3217.59,12,28.336206561716647,-0.033495145631067924,-564.4499999999999
stoch_d,<21.11(q0.2),103,0.5339805825242718,-0.033495145631067924,-564.4499999999999,11,39.633298467975145,-0.08659367396593687,-3217.59
stoch_d,>=30.57(q0.3),360,0.5833333333333334,-0.10372222222222216,-3218.3,12,25.707985632719854,-0.01103896103896107,-563.7399999999999
stoch_d,<30.57(q0.3),154,0.551948051948052,-0.01103896103896107,-563.7399999999999,12,44.93065638612126,-0.10372222222222216,-3218.3
stoch_d,>=40.77(q0.4),308,0.5941558441558441,-0.10136363636363632,-2793.6900000000005,12,26.095322527024173,-0.03796116504854363,-988.3500000000001
stoch_d,<40.77(q0.4),206,0.5436893203883495,-0.03796116504854363,-988.3500000000001,12,23.696555196576178,-0.10136363636363632,-2793.6900000000005
stoch_d,>=52.36(q0.5),257,0.5914396887159533,-0.1052140077821011,-2279.12,12,28.020276329336745,-0.046692607003890996,-1502.92
stoch_d,<52.36(q0.5),257,0.556420233463035,-0.046692607003890996,-1502.92,12,18.14760200259243,-0.1052140077821011,-2279.12
stoch_d,>=60.24(q0.6),206,0.587378640776699,-0.11225728155339809,-2002.95,12,27.750774288739922,-0.05167207792207795,-1779.09
stoch_d,<60.24(q0.6),308,0.564935064935065,-0.05167207792207795,-1779.09,12,20.523144389397928,-0.11225728155339809,-2002.95
stoch_d,>=69.32(q0.7),154,0.5844155844155844,-0.1237987012987013,-1504.9299999999998,11,23.375498472943253,-0.055486111111111125,-2277.11
stoch_d,<69.32(q0.7),360,0.5694444444444444,-0.055486111111111125,-2277.11,12,18.883584894888696,-0.1237987012987013,-1504.9299999999998
stoch_d,>=76.83(q0.8),103,0.6019417475728155,-0.09936893203883501,-786.3500000000001,10,20.333894881396258,-0.07008515815085159,-2995.6899999999996
stoch_d,<76.83(q0.8),411,0.5669099756690997,-0.07008515815085159,-2995.6899999999996,12,21.26488388317883,-0.09936893203883501,-786.3500000000001
stoch_d,>=82.91(q0.9),52,0.5961538461538461,-0.11548076923076933,-353.74,10,23.721200442089156,-0.07150432900432913,-3428.3
stoch_d,<82.91(q0.9),462,0.5714285714285714,-0.07150432900432913,-3428.3,12,22.753843012571828,-0.11548076923076933,-353.74
stoch_k,>=7.879(q0.1),462,0.5865800865800865,-0.07501082251082247,-3148.23,12,24.673285238240307,-0.08432692307692313,-633.81
stoch_k,<7.879(q0.1),52,0.46153846153846156,-0.08432692307692313,-633.81,12,38.39428187105197,-0.07501082251082247,-3148.23
stoch_k,>=17.23(q0.2),411,0.5912408759124088,-0.08513381995133817,-2976.84,12,23.197484131711597,-0.03932038834951457,-805.1999999999999
