feature,split,n,wr,edge,pnl,n_weeks,worst_wk_share
ob_bid_wall_pct,>=-0.05504(q0.1),107,0.8130841121495327,0.10757009345794377,894.4300000000001,6,37.29816426084282
ob_bid_wall_pct,<-0.05504(q0.1),12,1.0,0.3041666666666666,270.95000000000005,4,63.58368702712678
ob_bid_wall_pct,>=-0.04412(q0.2),95,0.8,0.09357894736842098,719.72,6,39.484347993086224
ob_bid_wall_pct,<-0.04412(q0.2),24,0.9583333333333334,0.2612500000000002,445.66,4,40.09110083920477
ob_bid_wall_pct,>=-0.03757(q0.3),83,0.7831325301204819,0.07939759036144578,539.22,6,40.152531758811946
ob_bid_wall_pct,<-0.03757(q0.3),36,0.9444444444444444,0.2380555555555557,626.1599999999999,5,28.534240449725313
ob_bid_wall_pct,>=-0.02829(q0.4),71,0.7605633802816901,0.062253521126760636,391.47,6,44.53696566886949
ob_bid_wall_pct,<-0.02829(q0.4),48,0.9375,0.22375,773.91,5,30.79298626455273
ob_bid_wall_pct,>=-0.02136(q0.5),60,0.7833333333333333,0.08533333333333326,448.05999999999995,6,45.01737967914438
ob_bid_wall_pct,<-0.02136(q0.5),59,0.8813559322033898,0.1701694915254237,717.3199999999999,6,30.866813281124283
ob_bid_wall_pct,>=-0.01502(q0.6),48,0.7708333333333334,0.07729166666666676,333.15000000000003,6,35.961424853507054
ob_bid_wall_pct,<-0.01502(q0.6),71,0.8732394366197183,0.1612676056338027,832.2299999999998,6,33.819411361444516
ob_bid_wall_pct,>=-0.007584(q0.7),36,0.75,0.06499999999999995,181.94,6,33.995746865146295
ob_bid_wall_pct,<-0.007584(q0.7),83,0.8674698795180723,0.15445783132530133,983.44,6,38.341942568941676
ob_bid_wall_pct,>=-0.006944(q0.8),24,0.7083333333333334,0.03125,24.629999999999995,5,41.945105600915916
ob_bid_wall_pct,<-0.006944(q0.8),95,0.8631578947368421,0.15168421052631564,1140.75,6,31.23120884581936
ob_bid_wall_pct,>=-0.006022(q0.9),12,0.6666666666666666,-0.020000000000000018,-8.909999999999997,3,52.331362185357676
ob_bid_wall_pct,<-0.006022(q0.9),107,0.8504672897196262,0.14392523364485976,1174.29,6,37.41266349152624
ob_ask_wall_pct,>=0.004486(q0.1),107,0.8317757009345794,0.12953271028037383,1089.23,6,42.29428203109453
ob_ask_wall_pct,<0.004486(q0.1),12,0.8333333333333334,0.10833333333333339,76.15,3,47.550886408404466
ob_ask_wall_pct,>=0.004916(q0.2),95,0.8210526315789474,0.11852631578947359,899.2500000000001,6,44.8860526832089
ob_ask_wall_pct,<0.004916(q0.2),24,0.875,0.16249999999999998,266.13,3,49.64115282005036
ob_ask_wall_pct,>=0.005816(q0.3),83,0.8192771084337349,0.11216867469879521,732.3000000000001,6,38.21261013845978
ob_ask_wall_pct,<0.005816(q0.3),36,0.8611111111111112,0.1625000000000001,433.08000000000004,3,60.57541331855546
ob_ask_wall_pct,>=0.00639(q0.4),71,0.8169014084507042,0.11352112676056358,660.34,6,41.64151931565953
ob_ask_wall_pct,<0.00639(q0.4),48,0.8541666666666666,0.14791666666666647,505.03999999999996,3,66.19277680975765
ob_ask_wall_pct,>=0.00735(q0.5),60,0.8333333333333334,0.12383333333333346,606.59,6,37.58596238477382
ob_ask_wall_pct,<0.00735(q0.5),59,0.8305084745762712,0.13101694915254236,558.79,5,51.726139966951
ob_ask_wall_pct,>=0.01169(q0.6),48,0.875,0.1652083333333335,702.38,5,42.9571123517456
ob_ask_wall_pct,<0.01169(q0.6),71,0.8028169014084507,0.101830985915493,463.0,5,50.531016171856145
ob_ask_wall_pct,>=0.01864(q0.7),36,0.8611111111111112,0.14749999999999996,488.62,5,50.270148581719944
ob_ask_wall_pct,<0.01864(q0.7),83,0.8192771084337349,0.11867469879518078,676.76,6,45.10125430869399
ob_ask_wall_pct,>=0.01942(q0.8),24,0.7916666666666666,0.1004166666666666,264.49,4,51.3977061485041
ob_ask_wall_pct,<0.01942(q0.8),95,0.8421052631578947,0.13421052631578922,900.89,6,41.24797155526156
ob_ask_wall_pct,>=0.01995(q0.9),13,0.7692307692307693,0.09076923076923082,133.78,4,41.62644074475421
ob_ask_wall_pct,<0.01995(q0.9),106,0.839622641509434,0.13188679245283008,1031.6,6,39.3735203059552
