decision_time,ticker,win,would_pnl,net_move_pct,mae_pct,touched_strike,path_rv,reversals,n_bars,monotonic_frac,pre_rv5,pre_rv15,pre_rev5,pre_rev15,pre_maxdd5,episode
2026-07-03 22:21:39.008214+00:00,KXBTC15M-26JUL031830-30,1.0,12.24,-0.0155715414095204,-0.0155715414095204,False,0.0003428784975188,7,9,0.5555555555555556,0.00021562994314704468,0.0002093542812463128,3,12,0.0,28
2026-07-03 22:46:57.941841+00:00,KXBTC15M-26JUL031900-00,0.0,-96.28,-0.0423930510350852,-0.0423930510350852,False,0.0001678600903367,8,14,0.1428571428571428,9.731203464635219e-05,0.000194880557976008,4,12,-0.011676174789309652,28
2026-07-03 23:34:47.633916+00:00,KXBTC15M-26JUL031945-45,1.0,24.81,0.1458852502418295,0.0913018010151794,False,0.0002265640740499,8,11,0.3636363636363636,0.0003901208879194727,0.0004511768479964806,3,10,0.0,29
2026-07-04 00:50:58.100757+00:00,KXBTC15M-26JUL032100-00,1.0,16.33,-0.0087555723178001,-0.0087555723178001,False,0.0003892576682063,8,10,0.5,0.0005415703323328035,0.00037079202419875096,4,9,0.0,30
2026-07-04 01:21:26.516947+00:00,KXBTC15M-26JUL032130-30,0.0,-81.8,0.0664079443911388,-0.0956520418006686,True,0.0006961510337862,7,9,0.4444444444444444,0.0003096994922577391,0.000349123893759104,4,12,0.0,30
2026-07-04 01:31:37.800042+00:00,KXBTC15M-26JUL032145-45,0.0,-62.02,-0.0175798403179584,-0.0661512492028437,False,0.0003250894545713,11,14,0.3571428571428571,0.0003584973037086177,0.0005682614497498687,4,10,-0.02780464777818553,30
2026-07-04 03:03:16.735019+00:00,KXBTC15M-26JUL032315-15,1.0,51.48,0.0858102149458095,-0.015947161337778,False,0.0002702073848839,5,11,0.1818181818181818,0.0,0.0001427671925407456,1,5,0.0,31
2026-07-04 03:18:29.449532+00:00,KXBTC15M-26JUL032330-30,0.0,-91.59,0.078972025746233,0.0609797843461758,False,6.286653742176886e-05,5,12,0.25,0.00029003834651012084,0.00022902821638452953,3,7,0.0,31
2026-07-04 04:09:16.817907+00:00,KXBTC15M-26JUL040015-15,1.0,28.42,0.1477858501371877,0.1458211501635685,False,9.463082309763704e-05,3,6,0.1666666666666666,0.00026143860483506236,0.0003190810757009239,2,10,-0.03236812065711568,32
2026-07-04 04:24:30.402729+00:00,KXBTC15M-26JUL040030-30,1.0,56.62,0.0758037890237973,0.0758037890237973,False,0.0003499644407522,5,6,0.1666666666666666,0.0003634991461837426,0.0004363986486066789,3,8,0.0,32
2026-07-04 06:31:24.796429+00:00,KXBTC15M-26JUL040245-45,1.0,23.87,0.0844915770944528,0.0508094941677955,False,8.773364049399196e-05,6,14,0.1428571428571428,0.00047146973376160884,0.0005013086109088028,2,5,0.0,33
2026-07-04 07:22:13.861934+00:00,KXBTC15M-26JUL040330-30,1.0,31.39,0.1065513265956177,0.1065513265956177,False,0.0003060859673762,6,8,0.125,2.8825019394176565e-05,0.00012655111997742768,3,6,0.0,34
2026-07-04 07:47:39.660636+00:00,KXBTC15M-26JUL040400-00,1.0,22.57,0.1734982772899154,0.0579087199299342,False,0.0002300192751004,10,13,0.3076923076923077,0.0001485020085083819,0.0003333158953269271,4,8,0.0,34
2026-07-04 08:23:19.538958+00:00,KXBTC15M-26JUL040430-30,1.0,19.57,0.0732674374975977,0.035708912041271,False,0.0001419072092904,3,7,0.1428571428571428,0.0,1.7217685541646435e-05,1,3,0.0,34
2026-07-04 09:49:54.171042+00:00,KXBTC15M-26JUL040600-00,1.0,18.81,0.1082153786901642,0.1082153786901642,False,8.149892305207564e-05,4,11,0.0909090909090909,0.00016073057150597686,0.00018802869372915794,2,10,-0.00040032647424627734,35
2026-07-04 11:16:26.005637+00:00,KXBTC15M-26JUL040730-30,0.0,-108.12,0.0024868847081457,-0.0019145395082232,False,0.0002118236179196,6,14,0.0714285714285714,0.0002474015018015492,0.00015866264196290312,3,6,0.0,36
