logged_at,contract_ticker,spot,strike,p_market,tau_minutes,realized_vol_annual,resolved_yes,pu_ts,p_up_v2,effective,p_sc,p_model_yes,p_model_no,edge_yes,edge_no,best_side,best_edge,win,cost,day
2026-07-08 08:09:06+00:00,KXBTC15M-26JUL080415-15,62773.73,62842.17,0.275,5.9,0.272802,0.0,2026-07-08 06:51:27+00:00,0.3996,2026-07-08 08:00:00+00:00,0.274390243902439,0.20663861851147308,0.7824622928511857,-0.06836138148852694,0.05746229285118576,no,0.05746229285118576,1.0,0.725,2026-07-08
2026-07-02 03:38:46+00:00,KXBTC15M-26JUL012345-45,60610.38,60504.7,0.942,6.2,0.603552,1.0,2026-07-02 03:38:00+00:00,0.5009,2026-07-02 03:30:00+00:00,0.4707317073170731,0.8837715456012569,0.1153077678299732,-0.058228454398743024,0.057307767829973155,no,0.057307767829973155,0.0,0.05800000000000005,2026-07-02
2026-07-04 14:03:57+00:00,KXBTC15M-26JUL041015-15,62573.93,62540.86,0.78,11.0,0.299316,1.0,2026-07-04 13:44:01+00:00,0.6029,2026-07-04 14:00:00+00:00,0.5600873998543335,0.7271899732590017,0.2771298615963995,-0.05281002674099833,0.057129861596399545,no,0.057129861596399545,0.0,0.21999999999999997,2026-07-04
2026-07-03 16:09:21+00:00,KXBTC15M-26JUL031215-15,61908.64,61875.95,0.765,5.6,0.411844,1.0,2026-07-03 16:09:05+00:00,0.6029,2026-07-03 16:00:00+00:00,0.4512946979038224,0.7053354194078237,0.2920909141730671,-0.059664580592176275,0.05709091417306711,no,0.05709091417306711,0.0,0.235,2026-07-03
2026-07-07 16:54:04+00:00,KXBTC15M-26JUL071300-00,64084.02,64003.69,0.835,5.9,0.658157,0.0,2026-07-07 16:53:08+00:00,0.4927,2026-07-07 16:45:00+00:00,0.4390243902439024,0.7750604995505654,0.22206427652431782,-0.059939500449434524,0.05706427652431778,no,0.05706427652431778,1.0,0.16500000000000004,2026-07-07
2026-07-06 00:33:34+00:00,KXBTC15M-26JUL052045-45,63391.4,63392.26,0.555,11.4,0.451902,1.0,2026-07-06 00:32:00+00:00,0.6145,2026-07-06 00:30:00+00:00,0.5041291291291291,0.49832832721044806,0.5020316444591479,-0.056671672789551986,0.05703164445914799,no,0.05703164445914799,0.0,0.44499999999999995,2026-07-06
2026-07-07 02:01:55+00:00,KXBTC15M-26JUL062215-15,63821.62,63805.76,0.635,13.1,0.419215,0.0,2026-07-07 01:45:22+00:00,0.5583,2026-07-07 02:00:00+00:00,0.4722222222222222,0.5756315157708622,0.4218189153319135,-0.05936848422913776,0.05681891533191352,no,0.05681891533191352,1.0,0.365,2026-07-07
2026-07-06 01:23:28+00:00,KXBTC15M-26JUL052130-30,63697.38,63745.54,0.17,6.5,0.426229,0.0,2026-07-06 01:18:48+00:00,0.5598,2026-07-06 01:15:00+00:00,0.4446043165467626,0.22662357302219238,0.7706054772040865,0.05662357302219237,-0.05939452279591351,yes,0.05662357302219237,0.0,0.17,2026-07-06
2026-07-03 12:57:09+00:00,KXBTC15M-26JUL030900-00,61883.34,61861.7,0.875,2.8,0.236274,1.0,2026-07-03 12:07:24+00:00,0.4928,2026-07-03 12:45:00+00:00,0.5600873998543335,0.8203249649100046,0.1813922609093267,-0.05467503508999538,0.0563922609093267,no,0.0563922609093267,0.0,0.125,2026-07-03
2026-07-02 16:46:10+00:00,KXBTC15M-26JUL021300-00,61422.53,61375.81,0.685,13.8,0.787916,1.0,2026-07-02 16:29:24+00:00,0.5175,2026-07-02 16:45:00+00:00,0.5484496124031008,0.6334764798481568,0.3709275480349792,-0.05152352015184325,0.055927548034979235,no,0.055927548034979235,0.0,0.31499999999999995,2026-07-02
