effective,trend,rev,p_pooled,p_rc,p_bull,p_sdwy,p_bear
2026-06-25 09:30:00+00:00,-5.0,1.0,0.5613415710503089,0.5760927360160933,2.3945132052696997e-19,0.9999973844783012,2.6155217066196965e-06
2026-06-25 09:45:00+00:00,2.0,1.0,0.4103641456582633,0.42855650037224935,2.3945132052696997e-19,0.9999973844783012,2.6155217066196965e-06
2026-06-25 10:00:00+00:00,-1.0,0.0,0.49305169538632576,0.5126791358452946,2.8837371342943423e-18,0.9999941349044876,5.865095512517815e-06
2026-06-25 10:15:00+00:00,-6.0,0.0,0.5898366606170599,0.5741451142347949,2.8837371342943423e-18,0.9999941349044876,5.865095512517815e-06
2026-06-25 10:30:00+00:00,-6.0,1.0,0.5915190552871712,0.5891620908621884,2.8837371342943423e-18,0.9999941349044876,5.865095512517815e-06
2026-06-25 10:45:00+00:00,-6.0,2.0,0.6028842771720014,0.5770959252661162,2.8837371342943423e-18,0.9999941349044876,5.865095512517815e-06
2026-06-25 11:00:00+00:00,-6.0,2.0,0.6028842771720014,0.5770957587915677,1.0025786822108324e-20,0.9999993913596515,6.08640362507668e-07
2026-06-25 11:15:00+00:00,0.0,-1.0,0.5098658247829518,0.5695202183484782,1.0025786822108324e-20,0.9999993913596515,6.08640362507668e-07
2026-06-25 11:30:00+00:00,-2.0,-1.0,0.528169014084507,0.5342388226782239,1.0025786822108324e-20,0.9999993913596515,6.08640362507668e-07
2026-06-25 11:45:00+00:00,1.0,-1.0,0.4862047823421214,0.4826563089503916,1.0025786822108324e-20,0.9999993913596515,6.08640362507668e-07
2026-06-25 12:00:00+00:00,-2.0,0.0,0.5398809523809524,0.5400738383994222,6.1810479018810425e-24,0.9999999390341562,6.096585207897903e-08
2026-06-25 12:15:00+00:00,-6.0,0.0,0.5898366606170599,0.5741451877579982,6.1810479018810425e-24,0.9999999390341562,6.096585207897903e-08
2026-06-25 12:30:00+00:00,-6.0,2.0,0.6028842771720014,0.5770957414464394,6.1810479018810425e-24,0.9999999390341562,6.096585207897903e-08
2026-06-25 12:45:00+00:00,3.0,0.0,0.44529914529914527,0.460426199580806,6.1810479018810425e-24,0.9999999390341562,6.096585207897903e-08
2026-06-25 13:00:00+00:00,-1.0,1.0,0.49562043795620436,0.5066249543123009,4.382431781975971e-22,0.9999996448207248,3.551792628381446e-07
2026-06-25 13:15:00+00:00,1.0,-1.0,0.4862047823421214,0.48265630449485647,4.382431781975971e-22,0.9999996448207248,3.551792628381446e-07
2026-06-25 13:30:00+00:00,0.0,0.0,0.49698655540101994,0.5264740798606886,4.382431781975971e-22,0.9999996448207248,3.551792628381446e-07
2026-06-25 13:45:00+00:00,-6.0,3.0,0.5657254138266796,0.5460133865331196,4.382431781975971e-22,0.9999996448207248,3.551792628381446e-07
2026-06-25 14:00:00+00:00,-6.0,3.0,0.5657254138266796,0.5460133808938743,2.7766716073706143e-98,1.0,1.5641272785604988e-58
2026-06-25 14:15:00+00:00,0.0,-1.0,0.5098658247829518,0.5695202593825358,2.7766716073706143e-98,1.0,1.5641272785604988e-58
2026-06-25 14:30:00+00:00,1.0,-1.0,0.4862047823421214,0.48265629825126466,2.7766716073706143e-98,1.0,1.5641272785604988e-58
2026-06-25 14:45:00+00:00,0.0,0.0,0.49698655540101994,0.5264740861373974,2.7766716073706143e-98,1.0,1.5641272785604988e-58
2026-06-25 15:00:00+00:00,-2.0,0.0,0.5398809523809524,0.5400738387797669,2.3998937818421638e-70,1.0,1.0196460676914216e-40
2026-06-25 15:15:00+00:00,-3.0,1.0,0.5535917901938426,0.5195404653230692,2.3998937818421638e-70,1.0,1.0196460676914216e-40
2026-06-25 15:30:00+00:00,1.0,0.0,0.474792243767313,0.48687605535318823,2.3998937818421638e-70,1.0,1.0196460676914216e-40
2026-06-25 15:45:00+00:00,0.0,0.0,0.49698655540101994,0.5264740861373974,2.3998937818421638e-70,1.0,1.0196460676914216e-40
2026-06-25 16:00:00+00:00,2.0,0.0,0.455456570155902,0.5059543770993649,3.33685308479896e-55,1.0,3.41787662808711e-33
2026-06-25 16:15:00+00:00,3.0,-1.0,0.4350070389488503,0.46780662337794043,3.33685308479896e-55,1.0,3.41787662808711e-33
2026-06-25 16:30:00+00:00,2.0,0.0,0.455456570155902,0.5059543770993649,3.33685308479896e-55,1.0,3.41787662808711e-33
2026-06-25 16:45:00+00:00,-2.0,1.0,0.5506030414263241,0.5318920912141586,3.33685308479896e-55,1.0,3.41787662808711e-33
2026-06-25 17:00:00+00:00,2.0,1.0,0.4103641456582633,0.428556541867318,1.6134495272487734e-53,1.0,1.1117855498435027e-32
2026-06-25 17:15:00+00:00,3.0,0.0,0.44529914529914527,0.46042619990440425,1.6134495272487734e-53,1.0,1.1117855498435027e-32
2026-06-25 17:30:00+00:00,2.0,-1.0,0.43465304384844616,0.48819755967672107,1.6134495272487734e-53,1.0,1.1117855498435027e-32
2026-06-25 17:45:00+00:00,0.0,-2.0,0.49126606034358306,0.5293927070958615,1.6134495272487734e-53,1.0,1.1117855498435027e-32
2026-06-25 18:00:00+00:00,1.0,-1.0,0.4862047823421214,0.48265629825126466,7.049895926423589e-47,1.0,4.322458437289422e-34
2026-06-25 18:15:00+00:00,0.0,0.0,0.49698655540101994,0.5264740861373974,7.049895926423589e-47,1.0,4.322458437289422e-34
2026-06-25 18:30:00+00:00,3.0,0.0,0.44529914529914527,0.46042619990440425,7.049895926423589e-47,1.0,4.322458437289422e-34
2026-06-25 18:45:00+00:00,-1.0,0.0,0.49305169538632576,0.5126791694114583,7.049895926423589e-47,1.0,4.322458437289422e-34
2026-06-25 19:00:00+00:00,-1.0,-1.0,0.5423242467718795,0.5517783488802688,4.131873658243547e-48,1.0,4.679763521515975e-32
2026-06-25 19:15:00+00:00,-2.0,2.0,0.5714285714285714,0.5342388108312229,4.131873658243547e-48,1.0,4.679763521515975e-32
2026-06-25 19:30:00+00:00,-1.0,1.0,0.49562043795620436,0.5066249552993244,4.131873658243547e-48,1.0,4.679763521515975e-32
2026-06-25 19:45:00+00:00,1.0,0.0,0.474792243767313,0.48687605535318823,4.131873658243547e-48,1.0,4.679763521515975e-32
2026-06-25 20:00:00+00:00,1.0,0.0,0.474792243767313,0.48687605535318823,5.028380810169714e-52,1.0,2.0522082488981607e-31
2026-06-25 20:15:00+00:00,3.0,0.0,0.44529914529914527,0.46042619990440425,5.028380810169714e-52,1.0,2.0522082488981607e-31
2026-06-25 20:30:00+00:00,5.0,-2.0,0.4349775784753363,0.4306002697186342,5.028380810169714e-52,1.0,2.0522082488981607e-31
2026-06-25 20:45:00+00:00,-2.0,0.0,0.5398809523809524,0.5400738387797669,5.028380810169714e-52,1.0,2.0522082488981607e-31
