decision_time,ticker,win,would_pnl,net_move_pct,mae_pct,touched_strike,path_rv,reversals,n_bars,monotonic_frac,pre_rv5,pre_rv15,pre_rev5,pre_rev15,pre_maxdd5,episode,ts,rv,ts2,er
2026-07-02 13:33:03.498183+00:00,KXBTC15M-26JUL020945-45,1.0,44.24,0.3959451823167222,0.300638989917019,False,0.0009356097910437,5,12,0.4166666666666667,0.0025246639345516,0.0014443564133829,4,9,-0.3257665614039972,11,2026-07-02 13:33:00+00:00,1.377459167482012,2026-07-02 13:33:00+00:00,0.12621993608308582
2026-07-02 13:48:15.405920+00:00,KXBTC15M-26JUL021000-00,0.0,-62.73,0.0123687715323135,-0.1574999967705571,True,0.0005923910385607,10,12,0.4166666666666667,0.0014092472024513,0.0010784440687578,4,7,-0.1769981697238188,11,2026-07-02 13:48:00+00:00,1.4739659700764194,2026-07-02 13:48:00+00:00,0.1356295610617186
2026-07-02 14:03:28.971376+00:00,KXBTC15M-26JUL021015-15,1.0,29.25,0.3279948649461627,-0.1207493091478522,False,0.0014111072700618,9,12,0.5,0.0018029066243284,0.0010831076967152,4,12,0.0,11,2026-07-02 14:03:00+00:00,1.4826301085374687,2026-07-02 14:03:00+00:00,0.12327056412663494
2026-07-02 14:49:14.273153+00:00,KXBTC15M-26JUL021100-00,1.0,17.08,0.4259256781353883,0.1535772464562492,False,0.0009740382041543,6,11,0.5454545454545454,0.0009129690439905,0.0013709406021366,4,10,0.0,12,2026-07-02 14:49:00+00:00,1.744800453951307,2026-07-02 14:49:00+00:00,0.02593058860795431
2026-07-02 16:05:34.747407+00:00,KXBTC15M-26JUL021215-15,1.0,44.15,-0.0966745252810032,-0.0966745252810032,True,0.0012061184632549,8,9,0.2222222222222222,0.0011781055332774,0.0007163524151658,3,11,-0.1517604832708032,13,2026-07-02 16:05:00+00:00,1.5225695052360508,2026-07-02 16:05:00+00:00,0.048057976176190516
2026-07-02 16:46:10.979761+00:00,KXBTC15M-26JUL021300-00,1.0,14.18,0.3860127470617814,0.1778318116593743,False,0.0007551918209255,8,14,0.2857142857142857,0.0005969542132995,0.0004991255546268,3,11,-0.0457262337167374,13,2026-07-02 16:46:00+00:00,1.2987942441464222,2026-07-02 16:46:00+00:00,0.0009572390888700811
2026-07-02 17:06:29.710185+00:00,KXBTC15M-26JUL021315-15,1.0,9.57,0.0744513569168301,-0.0540644009744047,False,0.0005419586886766,6,9,0.2222222222222222,0.0005228913411603,0.000443076546596,2,9,0.0,13,2026-07-02 17:06:00+00:00,1.2362618521477626,2026-07-02 17:06:00+00:00,0.07147481013599757
2026-07-02 17:16:39.105658+00:00,KXBTC15M-26JUL021330-30,1.0,27.81,0.0792357042426007,0.0573099914980789,False,0.0006194789963526,10,14,0.3571428571428571,0.0005724407034833,0.00053888451071,5,8,-0.0235238691126804,13,2026-07-02 17:16:00+00:00,1.2038414847256667,2026-07-02 17:16:00+00:00,0.06427253577395209
2026-07-02 18:02:23.464853+00:00,KXBTC15M-26JUL021415-15,1.0,31.16,0.2233129238048634,0.0830248073411349,False,0.0003639276564094,8,13,0.3846153846153846,0.0002466130122317,0.000386374902769,4,12,-0.0281926196293577,14,2026-07-02 18:02:00+00:00,1.1618479481285193,2026-07-02 18:02:00+00:00,0.04941511816935193
2026-07-02 20:09:33.978504+00:00,KXBTC15M-26JUL021615-15,0.0,-78.24,0.0305341530399962,-0.0093728609818205,False,0.0003121045028142,4,6,0.1666666666666666,0.0003496975032989,0.0009115131006882,2,6,0.0,15,2026-07-02 20:09:00+00:00,0.695628832694771,2026-07-02 20:09:00+00:00,0.14577777777777698
2026-07-02 21:54:51.964158+00:00,KXBTC15M-26JUL021800-00,1.0,37.13,0.0984167290586225,0.0567017059800891,False,0.0002306806860339,5,6,0.3333333333333333,0.000488954860059,0.0003061423199739,4,10,-0.0193914970967211,16,2026-07-02 21:54:00+00:00,0.6473488679581705,2026-07-02 21:54:00+00:00,0.07257843834781354
2026-07-03 01:03:08.695626+00:00,KXBTC15M-26JUL022115-15,1.0,41.21,0.4487547143077744,0.2346038837247244,False,0.0009718555718408,9,12,0.5,0.0004295750382398,0.0003221397904894,3,9,-0.0585008175281414,17,2026-07-03 01:03:00+00:00,0.5149097350362071,2026-07-03 01:03:00+00:00,0.023963837779333284
2026-07-03 02:19:22.606533+00:00,KXBTC15M-26JUL022230-30,0.0,-73.98,-0.267690275048541,-0.267690275048541,True,0.0006512467115268,8,11,0.4545454545454545,0.000291867486755,0.0005744460435381,5,12,-0.0351810507872904,18,2026-07-03 02:19:00+00:00,0.7546642128995094,2026-07-03 02:19:00+00:00,0.05739064106390998
2026-07-03 02:49:47.999063+00:00,KXBTC15M-26JUL022300-00,1.0,44.02,0.2437350530879794,0.1026282908698326,False,0.0005222643161643,3,10,0.1,0.0002240079418124,0.0003738560703606,3,10,-0.0500896985392376,18,2026-07-03 02:49:00+00:00,0.8023277039330244,2026-07-03 02:49:00+00:00,0.0332080920113546
2026-07-03 05:37:32.329693+00:00,KXBTC15M-26JUL030145-45,1.0,18.37,0.0696583679312633,0.0696583679312633,False,0.0002182094986731,2,7,0.0,0.0006927442517248,0.0004498192196424,4,11,0.0,19,2026-07-03 05:37:00+00:00,0.616945627263684,2026-07-03 05:37:00+00:00,0.12114907488790604
2026-07-03 05:50:50.396155+00:00,KXBTC15M-26JUL030200-00,1.0,40.95,0.099577359996751,0.0778243862411506,False,8.939370077605986e-05,4,9,0.1111111111111111,0.0,0.000238589650528,1,5,0.0,19,2026-07-03 05:50:00+00:00,0.597771717544813,2026-07-03 05:50:00+00:00,0.17948570243553538
2026-07-03 09:08:50.538031+00:00,KXBTC15M-26JUL030515-15,1.0,18.02,0.2652014331769478,0.1514418090855416,False,0.0003288155298224,3,7,0.4285714285714285,0.0002472725460077,0.0002171049335178,5,12,0.0,20,2026-07-03 09:08:00+00:00,0.5711854065418016,2026-07-03 09:08:00+00:00,0.09627103195312796
2026-07-03 09:49:26.832089+00:00,KXBTC15M-26JUL030600-00,1.0,27.65,0.1062527188055799,0.1062527188055799,False,5.063268858051146e-05,3,11,0.0,0.0003414404384979,0.0002899932924946,3,6,0.0,20,2026-07-03 09:49:00+00:00,0.5528362433903609,2026-07-03 09:49:00+00:00,0.0710156352647509
2026-07-03 11:46:08.791307+00:00,KXBTC15M-26JUL030800-00,1.0,54.9,0.3069909457813559,0.2303922590288869,False,0.0004220466509395,9,14,0.1428571428571428,0.0,0.0002258037676718,1,9,0.0,21,2026-07-03 11:46:00+00:00,0.6227538965844308,2026-07-03 11:46:00+00:00,0.1198620326795446
