logged_at,contract_ticker,spot,strike,p_market,tau_minutes,realized_vol_annual,resolved_yes,pu_ts,p_up_v2,p_model_yes,p_model_no,edge_yes,edge_no,best_side,best_edge,win,cost,day
2026-07-03 04:31:24+00:00,KXBTC15M-26JUL030045-45,61346.46,61356.89,0.645,13.6,0.240726,1.0,2026-07-03 04:02:13+00:00,0.6404,0.478767035092946,0.5348558963430816,-0.16623296490705403,0.17985589634308163,no,0.17985589634308163,0.0,0.355,2026-07-03
2026-07-03 08:12:59+00:00,KXBTC15M-26JUL030415-15,61687.82,61694.29,0.575,2.0,0.190963,0.0,2026-07-03 08:05:26+00:00,0.6358,0.4013541310726095,0.6035411026332453,-0.17364586892739048,0.1785411026332453,no,0.1785411026332453,1.0,0.42500000000000004,2026-07-03
2026-07-02 01:06:22+00:00,KXBTC15M-26JUL012115-15,59676.62,59677.17,0.675,8.6,0.396847,1.0,2026-07-02 01:06:10+00:00,0.5052,0.4986939186667402,0.5016998273181882,-0.17630608133325987,0.17669982731818823,no,0.17669982731818823,0.0,0.32499999999999996,2026-07-02
2026-07-05 20:55:09+00:00,KXBTC15M-26JUL051700-00,62690.49,62690.47,0.665,4.8,0.164473,0.0,2026-07-05 20:20:58+00:00,0.4336,0.4912961059094273,0.5049307954139004,-0.17370389409057274,0.16993079541390044,no,0.16993079541390044,1.0,0.33499999999999996,2026-07-05
2026-07-06 06:03:50+00:00,KXBTC15M-26JUL060215-15,63035.86,63058.9,0.545,11.2,0.236229,0.0,2026-07-06 06:03:33+00:00,0.5876,0.38694214307240693,0.6203601716187277,-0.1580578569275931,0.16536017161872774,no,0.16536017161872774,1.0,0.45499999999999996,2026-07-06
2026-07-09 06:07:10+00:00,KXBTC15M-26JUL090215-15,62550.74,62533.11,0.415,7.8,0.347999,0.0,2026-07-09 04:59:22+00:00,0.4743,0.5787322719750254,0.4194502704001468,0.16373227197502543,-0.16554972959985315,yes,0.16373227197502543,0.0,0.415,2026-07-09
2026-07-02 22:35:34+00:00,KXBTC15M-26JUL021845-45,61456.24,61459.97,0.655,9.4,0.183731,0.0,2026-07-02 22:32:03+00:00,0.6863,0.5071608650081164,0.5081673568672967,-0.14783913499188361,0.16316735686729678,no,0.16316735686729678,1.0,0.345,2026-07-02
2026-07-08 11:22:32+00:00,KXBTC15M-26JUL080730-30,62052.15,62061.89,0.58,7.5,0.220866,0.0,2026-07-08 11:05:13+00:00,0.4282,0.41289281292099533,0.5821177222628496,-0.16710718707900463,0.1621177222628496,no,0.1621177222628496,1.0,0.42000000000000004,2026-07-08
2026-07-10 06:38:19+00:00,KXBTC15M-26JUL100245-45,63872.2,63872.17,0.665,6.7,0.187288,0.0,2026-07-10 06:31:48+00:00,0.6112,0.5196172419148185,0.4879074850669115,-0.14538275808518153,0.15290748506691154,no,0.15290748506691154,1.0,0.33499999999999996,2026-07-10
2026-07-04 15:57:38+00:00,KXBTC15M-26JUL041200-00,62886.27,62861.33,0.8985,2.4,0.527388,1.0,2026-07-04 15:57:23+00:00,0.4778,0.7450209216184921,0.25426451096189895,-0.15347907838150787,0.1527645109618989,no,0.1527645109618989,0.0,0.10150000000000003,2026-07-04
