logged_at,contract_ticker,spot,strike,p_market,tau_minutes,realized_vol_annual,resolved_yes,week,effective,p_sc,p_model_yes,p_model_no,edge_yes,edge_no,best_side,best_edge,win,cost,era
2026-07-06 15:36:55+00:00,KXBTC15M-26JUL061145-45,62306.84,62397.82,0.235,8.1,0.863736,1.0,2026-07-06/2026-07-12,2026-07-06 15:30:00+00:00,0.571072319201995,0.29086425818715284,0.7136308008326484,0.05586425818715285,-0.05136919916735161,yes,0.05586425818715285,1.0,0.235,07-01+ (s23 window)
2026-05-23 18:26:51+00:00,KXBTC15M-26MAY231430-30,75704.53,75626.08,0.9715,3.1,0.469481,1.0,2026-05-18/2026-05-24,2026-05-23 18:15:00+00:00,0.4985119047619047,0.9156227649097743,0.08435099621392816,-0.055877235090225685,0.055850996213928195,no,0.055850996213928195,0.0,0.02849999999999997,pre-07-01 (held-out)
2026-07-02 15:50:21+00:00,KXBTC15M-26JUL021200-00,61518.24,61669.35,0.115,9.6,0.832872,0.0,2026-06-29/2026-07-05,2026-07-02 15:45:00+00:00,0.5041291291291291,0.17081830033041784,0.8293917982991528,0.05581830033041783,-0.05560820170084724,yes,0.05581830033041783,0.0,0.115,07-01+ (s23 window)
2026-07-04 17:18:37+00:00,KXBTC15M-26JUL041330-30,62839.72,62807.48,0.735,11.4,0.341965,1.0,2026-06-29/2026-07-05,2026-07-04 17:00:00+00:00,0.4832402234636871,0.6780568337242935,0.32063087327288153,-0.0569431662757065,0.05563087327288152,no,0.05563087327288152,0.0,0.265,07-01+ (s23 window)
2026-07-07 14:08:41+00:00,KXBTC15M-26JUL071015-15,62972.08,63000.21,0.375,6.3,0.893308,0.0,2026-07-06/2026-07-12,2026-07-07 14:00:00+00:00,0.6188212927756654,0.4305246204251024,0.5771608715013189,0.05552462042510242,-0.047839128498681105,yes,0.05552462042510242,0.0,0.375,07-01+ (s23 window)
2026-07-09 20:02:11+00:00,KXBTC15M-26JUL091615-15,63203.33,63195.8,0.475,12.8,0.327121,0.0,2026-07-06/2026-07-12,2026-07-09 20:00:00+00:00,0.5041291291291291,0.5303687793772057,0.4700115681333299,0.055368779377205746,-0.05498843186667013,yes,0.055368779377205746,0.0,0.475,07-01+ (s23 window)
2026-07-02 04:39:40+00:00,KXBTC15M-26JUL020045-45,60746.67,60769.02,0.285,5.3,0.436137,0.0,2026-06-29/2026-07-05,2026-07-02 04:30:00+00:00,0.4853999153618282,0.3403108289759055,0.6588912714526024,0.0553108289759055,-0.05610872854739768,yes,0.0553108289759055,0.0,0.285,07-01+ (s23 window)
2026-05-24 22:31:00+00:00,KXBTC15M-26MAY241845-45,76823.14,76794.28,0.645,14.0,0.474556,0.0,2026-05-18/2026-05-24,2026-05-24 22:30:00+00:00,0.4417791104447776,0.5842591832742898,0.41023088673549424,-0.06074081672571019,0.055230886735494256,no,0.055230886735494256,1.0,0.355,pre-07-01 (held-out)
2026-07-04 14:39:26+00:00,KXBTC15M-26JUL041045-45,62580.9,62613.48,0.135,5.6,0.254785,1.0,2026-06-29/2026-07-05,2026-07-04 14:30:00+00:00,0.4832402234636871,0.19021611999038263,0.8090858394276281,0.05521611999038262,-0.05591416057237186,yes,0.05521611999038262,1.0,0.135,07-01+ (s23 window)
2026-07-04 04:54:58+00:00,KXBTC15M-26JUL040100-00,62628.38,62620.2,0.685,5.0,0.191772,0.0,2026-06-29/2026-07-05,2026-07-04 04:45:00+00:00,0.4606126914660831,0.6279898663942021,0.369852673810243,-0.057010133605797986,0.05485267381024306,no,0.05485267381024306,1.0,0.31499999999999995,07-01+ (s23 window)
